ts,rss_mib,temp_c,p99_ms,direct_2xx,direct_err,anon_2xx,anon_503,ingest_2xx
1781250760,242,61.1,30,523,0,50,0,12
1781250820,250,61.1,32,518,0,48,0,12
1781250880,233,63.4,32,522,0,49,0,10
1781250940,242,63.9,30,524,0,53,0,11
1781251000,231,64.5,29,523,0,49,0,12
1781251060,233,64.5,30,525,0,47,0,12
1781251120,240,62.8,29,525,0,44,0,10
1781251180,232,62.2,32,498,0,44,0,10
1781251240,236,63.9,34,516,0,47,0,12
1781251300,241,61.7,33,518,0,38,0,12
1781251360,237,62.8,30,523,0,52,0,11
1781251420,232,61.1,31,523,0,44,0,12
1781251480,234,62.8,31,521,0,33,0,11
1781251540,239,63.9,34,519,0,38,0,12
1781251600,261,62.8,30,521,0,52,0,12
1781251660,235,63.4,32,520,0,51,0,11
1781251720,235,62.2,31,520,0,48,0,11
1781251780,234,62.2,34,514,0,44,0,12
1781251840,233,62.8,33,520,0,47,0,12
1781251900,233,62.8,30,524,0,38,0,10
1781251960,239,60.6,32,518,0,53,0,12
1781252021,243,62.2,32,518,0,46,0,12
1781252081,256,60.0,32,520,0,49,0,10
1781252141,239,61.7,32,518,0,42,0,12
1781252201,236,60.0,32,517,0,47,0,12
1781252261,233,62.2,33,518,0,49,0,11
1781252321,236,62.8,32,524,0,51,0,12
1781252381,239,62.2,33,518,0,45,0,12
1781252441,239,61.1,34,512,0,50,0,11
1781252501,258,61.1,33,514,0,52,0,12
1781252561,242,60.6,32,518,0,56,0,11
1781252621,232,62.2,33,514,0,49,0,12
1781252681,234,61.7,32,515,0,43,0,10
1781252741,235,60.6,32,522,0,45,0,12
1781252801,237,62.8,31,524,0,52,0,11
1781252861,239,61.1,33,524,0,49,0,12
1781252921,239,61.7,31,522,0,48,0,12
1781252981,234,62.8,34,516,0,51,0,11
1781253041,253,60.6,32,522,0,47,0,12
1781253101,235,61.7,32,518,0,45,0,11
1781253161,235,61.1,33,522,0,50,0,12
1781253221,244,67.8,108,491,0,48,0,10
1781253281,235,68.3,52,498,0,41,0,10
